"","Primary Type","Location Description","Arrest","Domestic","District","Hour","DayofWeek"
"41","Auto Theft","Street","No","No","6","10","Wednesday"
"42","Auto Theft","Street","No","No","7","4","Sunday"
"43","Fraud","Vehicle/Boat","No","No","9","22","Tuesday"
"44","Burglary","Residential","No","No","4","11","Wednesday"
"45","Robbery","Street","No","No","4","8","Saturday"
"46","Theft","Business/Retail/Resturant","No","No","9","17","Wednesday"
"47","Fraud","Residential","No","No","5","17","Wednesday"
"48","Battery","Residential","No","Yes","14","22","Sunday"
"49","Battery","Residential","No","Yes","25","8","Wednesday"
"50","Battery","Business/Retail/Resturant","No","No","25","18","Wednesday"
"51","Theft","Business/Retail/Resturant","No","No","8","16","Sunday"
"52","Battery","Residential","No","Yes","24","22","Tuesday"
"53","Burglary","Residential","No","No","4","14","Wednesday"
"54","Battery","Residential","No","No","8","21","Saturday"
"55","Other","Street","No","Yes","4","12","Tuesday"
"56","Theft","Residential","No","Yes","5","17","Friday"
"57","Theft","Street","No","No","10","6","Saturday"
"58","Theft","Business/Retail/Resturant","No","No","1","18","Wednesday"
"59","Theft","Street","No","No","17","10","Friday"
"60","Theft","Street","No","No","19","19","Wednesday"
"61","Theft","Business/Retail/Resturant","No","No","1","17","Sunday"
"62","Battery","Business/Retail/Resturant","No","No","18","17","Monday"
"63","Damage","Vehicle/Boat","No","No","5","19","Friday"
"64","Theft","Street","No","No","12","6","Friday"
"65","Assault","Street","Yes","No","11","11","Thursday"
"66","Weapons","Street","No","No","4","9","Friday"
"67","Battery","Street","No","No","11","20","Wednesday"
"68","Theft","Public Transportation","No","No","1","18","Wednesday"
"69","Damage","Street","No","No","8","21","Thursday"
"70","Assault","Residential","No","No","10","15","Monday"
"71","Other","Residential","No","No","17","16","Wednesday"
"72","Battery","Residential","No","Yes","3","2","Saturday"
"73","Battery","Public Transportation","No","No","7","21","Sunday"
"74","Theft","Other","Yes","No","25","13","Wednesday"
"75","Auto Theft","Residential","No","No","22","4","Wednesday"
"76","Disturbing the Peace","Residential","No","Yes","4","14","Tuesday"
"77","Other","Residential","No","Yes","25","3","Wednesday"
"78","Weapons","Residential","Yes","No","10","13","Thursday"
"79","Other","Vehicle/Boat","No","No","25","13","Monday"
"80","Robbery","Public Transportation","No","No","11","23","Thursday"
"81","Battery","Residential","No","No","10","18","Sunday"
"82","Drugs/Alcohol","Residential","Yes","No","11","19","Sunday"
"83","Fraud","Residential","No","No","1","9","Tuesday"
"84","Auto Theft","Street","No","No","18","16","Sunday"
"85","Drugs/Alcohol","Street","Yes","No","22","14","Saturday"
"86","Damage","Vehicle/Boat","No","No","2","17","Wednesday"
"87","Battery","Street","No","Yes","25","8","Saturday"
"88","Battery","Street","No","No","18","13","Thursday"
"89","Auto Theft","Residential","No","No","24","17","Sunday"
"90","Battery","Residential","No","Yes","17","19","Thursday"
"91","Trespass","Residential","No","Yes","2","4","Friday"
"92","Drugs/Alcohol","Street","Yes","No","17","20","Friday"
"93","Trespass","School/College","No","No","1","18","Tuesday"
"94","Drugs/Alcohol","Street","Yes","No","11","13","Wednesday"
"95","Fraud","Residential","No","No","12","16","Saturday"
"96","Other","Residential","No","No","16","0","Saturday"
"97","Battery","Residential","No","Yes","7","7","Wednesday"
"98","Drugs/Alcohol","Government Building/Land","Yes","No","16","6","Monday"
"99","Battery","Residential","Yes","No","11","9","Wednesday"
"100","Drugs/Alcohol","Street","Yes","No","11","17","Monday"
"101","Other","Street","No","No","16","20","Saturday"
"102","Damage","School/College","No","No","19","13","Wednesday"
"103","Battery","Residential","Yes","Yes","14","3","Sunday"
"104","Battery","Residential","No","Yes","9","4","Thursday"
"105","Theft","Residential","No","No","20","21","Tuesday"
"106","Theft","Street","No","No","18","13","Tuesday"
"107","Fraud","Public Transportation","No","No","7","22","Wednesday"
"108","Drugs/Alcohol","Street","Yes","No","18","14","Friday"
"109","Theft","Other","No","No","2","10","Friday"
"110","Assault","Street","No","Yes","11","12","Thursday"
"111","Battery","Residential","No","No","3","16","Friday"
"112","Theft","Residential","No","No","3","16","Saturday"
"113","Battery","Business/Retail/Resturant","No","No","18","2","Thursday"
"114","Theft","Residential","No","Yes","7","11","Monday"
"115","Battery","Residential","No","Yes","4","22","Friday"
"116","Fraud","Business/Retail/Resturant","No","No","10","9","Saturday"
"117","Fraud","Other","No","No","18","6","Wednesday"
"118","Theft","Street","No","No","20","1","Sunday"
"119","Other","Residential","No","No","6","7","Friday"
"120","Drugs/Alcohol","Government Building/Land","Yes","No","11","11","Thursday"
"121","Battery","Public Transportation","Yes","No","6","12","Monday"
"122","Theft","Street","No","No","11","21","Monday"
"123","Theft","Other","No","No","10","14","Thursday"
"124","Theft","Street","No","No","6","19","Tuesday"
"125","Battery","Business/Retail/Resturant","No","No","4","21","Sunday"
"126","Assault","Residential","No","No","20","13","Monday"
"127","Theft","Business/Retail/Resturant","No","No","18","14","Sunday"
"128","Damage","Residential","Yes","No","9","18","Monday"
"129","Battery","Residential","No","Yes","17","20","Saturday"
"130","Theft","Residential","No","No","19","12","Thursday"
"131","Battery","Residential","No","Yes","1","15","Saturday"
"132","Burglary","Residential","No","No","6","20","Monday"
"133","Theft","Street","No","No","4","4","Saturday"
"134","Assault","Residential","Yes","Yes","5","17","Tuesday"
"135","Fraud","Business/Retail/Resturant","No","No","2","0","Thursday"
"136","Damage","Vehicle/Boat","No","No","22","20","Monday"
"137","Assault","Street","No","Yes","1","9","Thursday"
"138","Theft","Public Transportation","No","No","19","19","Wednesday"
"139","Auto Theft","Street","No","No","15","15","Sunday"
"140","Battery","Street","No","No","11","23","Tuesday"
"141","Trespass","Street","Yes","No","15","21","Tuesday"
"142","Other","Residential","No","Yes","25","17","Friday"
"143","Fraud","Residential","No","No","5","14","Saturday"
"144","Weapons","Street","No","No","14","2","Friday"
"145","Theft","Street","No","No","14","21","Tuesday"
"146","Fraud","Residential","No","No","18","14","Saturday"
"147","Disturbing the Peace","Street","Yes","No","5","1","Thursday"
"148","Theft","Residential","No","Yes","6","23","Friday"
"149","Assault","Residential","No","No","3","21","Monday"
"150","Assault","Residential","No","No","6","6","Saturday"
"151","Theft","Residential","No","Yes","6","0","Monday"
"152","Drugs/Alcohol","Vehicle/Boat","Yes","No","10","11","Friday"
"153","Burglary","School/College","No","No","5","6","Tuesday"
"154","Assault","Business/Retail/Resturant","No","No","25","17","Monday"
"155","Burglary","Residential","No","No","14","22","Friday"
"156","Other","Business/Retail/Resturant","No","No","15","12","Monday"
"157","Auto Theft","Street","No","No","8","5","Sunday"
"158","Theft","Residential","No","No","18","10","Monday"
"159","Theft","Street","No","No","11","10","Thursday"
"160","Assault","Residential","Yes","No","11","8","Thursday"
"161","Damage","Residential","No","No","12","3","Thursday"
"162","Damage","Residential","No","No","11","21","Thursday"
"163","Theft","Government Building/Land","No","No","4","14","Monday"
"164","Robbery","Street","No","No","7","14","Thursday"
"165","Theft","Other","No","No","8","12","Monday"
"166","Other","Street","Yes","No","15","20","Wednesday"
"167","Battery","Street","No","No","5","0","Saturday"
"168","Trespass","Business/Retail/Resturant","Yes","No","6","21","Thursday"
"169","Other","Street","Yes","No","4","9","Tuesday"
"170","Burglary","Business/Retail/Resturant","Yes","No","9","0","Friday"
"171","Battery","Residential","No","No","7","3","Wednesday"
"172","Assault","Residential","No","Yes","2","19","Wednesday"
"173","Other","Street","Yes","No","5","13","Tuesday"
"174","Auto Theft","Street","Yes","No","16","0","Saturday"
"175","Auto Theft","Residential","No","No","14","19","Thursday"
"176","Damage","Residential","No","No","11","20","Tuesday"
"177","Trespass","Business/Retail/Resturant","Yes","No","11","8","Monday"
"178","Battery","School/College","No","No","8","14","Monday"
"179","Theft","Business/Retail/Resturant","No","No","18","13","Monday"
"180","Other","Street","Yes","No","6","19","Sunday"
"181","Other","Residential","No","Yes","4","7","Tuesday"
"182","Fraud","Residential","No","No","12","10","Tuesday"
"183","Homicide","Street","No","No","7","10","Friday"
"184","Theft","Residential","No","No","18","20","Sunday"
"185","Assault","Residential","No","No","10","9","Saturday"
"186","Damage","Street","No","No","12","19","Monday"
"187","Sexual","Business/Retail/Resturant","No","No","1","16","Saturday"
"188","Damage","Street","No","No","12","21","Sunday"
"189","Auto Theft","Street","Yes","No","18","23","Thursday"
"190","Trespass","Residential","Yes","No","11","9","Thursday"
"191","Assault","Business/Retail/Resturant","Yes","No","1","19","Friday"
"192","Theft","Business/Retail/Resturant","No","No","19","17","Monday"
"193","Fraud","Residential","No","No","1","9","Monday"
"194","Other","Residential","No","No","4","22","Wednesday"
"195","Auto Theft","Residential","No","No","24","12","Monday"
"196","Auto Theft","Street","No","No","2","16","Wednesday"
"197","Theft","Public Transportation","No","No","18","4","Wednesday"
"198","Robbery","Street","No","No","8","11","Tuesday"
"199","Disturbing the Peace","Street","Yes","No","6","15","Wednesday"
"200","Robbery","Street","No","No","11","5","Wednesday"
"201","Battery","Street","No","No","12","20","Sunday"
"202","Theft","Business/Retail/Resturant","No","No","1","15","Tuesday"
"203","Sexual","Other","No","No","11","13","Tuesday"
"204","Auto Theft","Street","No","No","11","9","Friday"
"205","Weapons","Vehicle/Boat","Yes","No","6","23","Saturday"
"206","Damage","Residential","No","No","9","14","Thursday"
"207","Battery","Street","No","Yes","22","17","Saturday"
"208","Battery","Other","No","No","9","23","Wednesday"
"209","Theft","Public Transportation","No","No","1","17","Tuesday"
"210","Robbery","Public Transportation","No","No","12","3","Tuesday"
"211","Other","Street","Yes","No","4","17","Saturday"
"212","Burglary","Business/Retail/Resturant","Yes","No","6","5","Saturday"
"213","Theft","Public Transportation","No","No","1","16","Friday"
"214","Damage","Street","No","No","6","0","Monday"
"215","Theft","Business/Retail/Resturant","No","No","3","15","Saturday"
"216","Battery","Street","No","No","12","22","Tuesday"
"217","Theft","Street","No","No","9","18","Friday"
"218","Fraud","Residential","No","No","14","16","Tuesday"
"219","Battery","Street","Yes","No","18","14","Sunday"
"220","Battery","Residential","No","No","10","14","Wednesday"
"221","Battery","School/College","No","No","2","12","Monday"
"222","Sexual","Residential","No","No","8","2","Tuesday"
"223","Battery","Street","Yes","Yes","7","19","Wednesday"
"224","Battery","Residential","No","Yes","7","19","Thursday"
"225","Theft","Business/Retail/Resturant","No","No","18","20","Friday"
"226","Damage","Residential","No","No","10","4","Sunday"
"227","Drugs/Alcohol","Street","Yes","No","7","15","Monday"
"228","Drugs/Alcohol","Street","Yes","No","11","19","Friday"
"229","Battery","Street","No","No","25","13","Wednesday"
"230","Trespass","Business/Retail/Resturant","Yes","No","22","16","Tuesday"
"231","Battery","Street","No","No","8","17","Sunday"
"232","Trespass","Residential","No","No","15","19","Sunday"
"233","Sexual","Street","Yes","No","11","19","Friday"
"234","Fraud","Other","No","No","17","0","Sunday"
"235","Auto Theft","Street","No","No","19","15","Saturday"
"236","Drugs/Alcohol","Government Building/Land","Yes","No","11","10","Tuesday"
"237","Damage","Street","No","No","4","22","Thursday"
"238","Battery","Street","Yes","Yes","25","14","Tuesday"
"239","Battery","Residential","No","Yes","2","13","Friday"
"240","Theft","Business/Retail/Resturant","No","No","5","11","Thursday"
"241","Fraud","Residential","No","No","25","10","Wednesday"
"242","Auto Theft","Business/Retail/Resturant","No","No","18","17","Sunday"
"243","Robbery","Residential","Yes","No","24","23","Monday"
"244","Weapons","Street","Yes","No","11","21","Sunday"
"245","Battery","Residential","Yes","Yes","7","13","Thursday"
"246","Theft","Government Building/Land","No","No","16","6","Monday"
"247","Damage","Residential","No","No","8","0","Friday"
"248","Theft","Street","No","No","25","15","Thursday"
"249","Theft","Business/Retail/Resturant","Yes","No","19","19","Tuesday"
"250","Fraud","Residential","No","No","1","10","Monday"
"251","Damage","Street","No","No","18","23","Friday"
"252","Drugs/Alcohol","Street","Yes","No","10","10","Saturday"
"253","Fraud","Residential","No","No","16","16","Wednesday"
"254","Fraud","Residential","No","No","22","16","Tuesday"
"255","Battery","Street","Yes","No","11","11","Thursday"
"256","Damage","Business/Retail/Resturant","No","No","17","12","Monday"
"257","Burglary","Residential","No","No","8","15","Friday"
"258","Theft","Other","No","No","22","0","Tuesday"
"259","Theft","Residential","No","No","18","17","Tuesday"
"260","Theft","Residential","No","No","22","17","Wednesday"
"261","Battery","Street","No","No","11","22","Saturday"
"262","Theft","Other","No","No","24","18","Thursday"
"263","Battery","Residential","No","Yes","10","9","Saturday"
"264","Battery","Other","No","No","7","19","Wednesday"
"265","Theft","Street","No","Yes","7","17","Saturday"
"266","Assault","Residential","No","No","6","17","Tuesday"
"267","Drugs/Alcohol","Medical/Hospital","Yes","No","1","1","Sunday"
"268","Damage","Street","No","No","5","0","Monday"
"269","Theft","Street","No","No","20","15","Monday"
"270","Theft","Residential","No","No","22","1","Thursday"
"271","Drugs/Alcohol","Street","Yes","No","8","16","Sunday"
"272","Assault","Street","No","No","6","10","Friday"
"273","Battery","Residential","Yes","Yes","7","14","Wednesday"
"274","Assault","Business/Retail/Resturant","No","No","18","19","Sunday"
"275","Damage","Street","No","No","19","17","Tuesday"
"276","Battery","Airport","No","No","16","14","Friday"
"277","Theft","Medical/Hospital","No","No","14","12","Thursday"
"278","Battery","Street","No","No","4","2","Monday"
"279","Battery","Street","Yes","No","3","15","Tuesday"
"280","Theft","Street","No","No","16","14","Friday"
"281","Damage","Business/Retail/Resturant","No","No","11","18","Sunday"
"282","Sexual","Street","No","No","9","7","Tuesday"
"283","Damage","Residential","Yes","Yes","20","0","Monday"
"284","Theft","Business/Retail/Resturant","No","No","8","7","Friday"
"285","Battery","Street","No","No","10","15","Friday"
"286","Damage","Residential","No","No","8","20","Monday"
"287","Theft","Other","No","No","12","2","Sunday"
"288","Damage","Street","No","No","14","1","Sunday"
"289","Damage","Residential","No","Yes","3","23","Tuesday"
"290","Theft","Residential","No","No","10","13","Tuesday"
"291","Fraud","Business/Retail/Resturant","No","No","1","16","Friday"
"292","Damage","Government Building/Land","Yes","No","22","0","Wednesday"
"293","Drugs/Alcohol","Government Building/Land","Yes","No","9","1","Friday"
"294","Theft","Street","No","No","17","21","Wednesday"
"295","Other","Street","No","No","24","1","Sunday"
"296","Drugs/Alcohol","Street","Yes","No","7","21","Thursday"
"297","Battery","Residential","No","No","9","12","Saturday"
"298","Theft","Business/Retail/Resturant","No","No","18","18","Friday"
"299","Robbery","Street","No","No","10","4","Friday"
"300","Theft","Business/Retail/Resturant","No","No","1","12","Friday"
"301","Auto Theft","Street","No","No","9","10","Monday"
"302","Fraud","Business/Retail/Resturant","No","No","8","12","Tuesday"
"303","Other","Residential","No","No","19","21","Saturday"
"304","Damage","Residential","No","No","8","6","Sunday"
"305","Other","School/College","No","No","15","14","Thursday"
"306","Other","Street","Yes","No","18","13","Sunday"
"307","Damage","Street","No","No","24","0","Thursday"
"308","Theft","Street","No","No","19","9","Saturday"
"309","Fraud","Public Transportation","Yes","No","11","17","Wednesday"
"310","Theft","Business/Retail/Resturant","No","No","8","9","Monday"
"311","Assault","Residential","No","No","5","9","Wednesday"
"312","Weapons","Other","Yes","No","11","1","Saturday"
"313","Theft","Public Transportation","No","No","1","13","Saturday"
"314","Damage","Street","No","No","6","19","Monday"
"315","Weapons","Street","No","No","14","3","Friday"
"316","Battery","Residential","Yes","Yes","3","11","Wednesday"
"317","Battery","Business/Retail/Resturant","No","Yes","20","0","Friday"
"318","Robbery","Street","Yes","No","16","21","Wednesday"
"319","Assault","Street","No","No","12","0","Thursday"
"320","Battery","Street","No","No","9","15","Thursday"
"321","Sexual","Street","Yes","No","5","20","Wednesday"
"322","Theft","Street","No","No","1","6","Saturday"
"323","Other","Street","No","Yes","6","16","Monday"
"324","Drugs/Alcohol","Street","Yes","No","12","18","Wednesday"
"325","Battery","Residential","No","Yes","15","7","Tuesday"
"326","Fraud","Business/Retail/Resturant","No","No","1","18","Thursday"
"327","Battery","Residential","No","Yes","7","20","Sunday"
"328","Theft","Airport","Yes","No","16","8","Tuesday"
"329","Other","School/College","No","No","2","11","Wednesday"
"330","Other","Residential","Yes","Yes","2","12","Thursday"
"331","Battery","Residential","No","No","6","19","Friday"
"332","Fraud","Residential","No","No","19","18","Saturday"
"333","Robbery","Other","No","No","11","1","Saturday"
"334","Battery","Residential","No","No","25","17","Saturday"
"335","Fraud","Other","No","No","14","17","Tuesday"
"336","Assault","Public Transportation","No","No","5","3","Sunday"
"337","Theft","Business/Retail/Resturant","No","No","1","17","Thursday"
"338","Battery","Street","No","No","12","21","Saturday"
"339","Fraud","Business/Retail/Resturant","No","No","19","17","Sunday"
"340","Burglary","Other","No","No","12","4","Sunday"
"341","Other","Street","Yes","No","15","17","Monday"
"342","Theft","Business/Retail/Resturant","No","No","1","12","Wednesday"
"343","Battery","Street","No","No","12","19","Friday"
"344","Theft","Street","No","No","14","1","Sunday"
"345","Other","Residential","No","Yes","22","15","Thursday"
"346","Robbery","Street","No","No","7","0","Wednesday"
"347","Battery","Vehicle/Boat","No","Yes","6","13","Thursday"
"348","Damage","Street","No","No","11","23","Friday"
"349","Theft","Residential","No","No","24","14","Saturday"
"350","Assault","Residential","No","Yes","6","3","Sunday"
"351","Auto Theft","Street","No","No","18","19","Tuesday"
"352","Theft","Residential","No","No","16","13","Sunday"
"353","Theft","Street","No","No","18","16","Tuesday"
"354","Theft","Medical/Hospital","No","No","14","4","Saturday"
"355","Theft","Street","No","No","1","15","Tuesday"
"356","Battery","Street","No","No","19","17","Sunday"
"357","Theft","Street","No","No","7","22","Thursday"
"358","Theft","Street","No","No","12","12","Wednesday"
"359","Battery","Residential","Yes","Yes","6","10","Tuesday"
"360","Battery","Residential","Yes","Yes","11","6","Friday"
"361","Battery","Street","No","No","5","23","Monday"
"362","Damage","Residential","No","No","6","16","Wednesday"
"363","Damage","Street","Yes","No","16","15","Wednesday"
"364","Theft","School/College","No","No","8","15","Thursday"
"365","Damage","Street","No","No","12","8","Saturday"
"366","Trespass","Residential","Yes","No","22","20","Sunday"
"367","Other","Residential","No","Yes","9","8","Thursday"
"368","Assault","Residential","No","No","18","14","Sunday"
"369","Sexual","Residential","No","No","9","0","Thursday"
"370","Theft","Residential","No","No","14","14","Monday"
"371","Assault","Residential","No","No","9","14","Wednesday"
"372","Fraud","Other","No","No","10","12","Sunday"
"373","Auto Theft","Street","No","No","2","0","Tuesday"
"374","Battery","Residential","No","No","17","2","Tuesday"
"375","Weapons","Street","Yes","No","10","20","Monday"
"376","Theft","Airport","No","No","8","19","Sunday"
"377","Damage","Residential","No","Yes","9","13","Friday"
"378","Other","Residential","No","No","7","20","Sunday"
"379","Battery","Business/Retail/Resturant","No","No","4","11","Sunday"
"380","Burglary","Residential","No","No","19","8","Tuesday"
"381","Damage","Residential","No","No","10","2","Friday"
"382","Auto Theft","Street","No","No","25","18","Friday"
"383","Theft","Public Transportation","No","No","1","12","Friday"
"384","Assault","Residential","No","Yes","7","20","Monday"
"385","Burglary","Residential","No","No","9","8","Sunday"
"386","Battery","Public Transportation","Yes","No","12","22","Sunday"
"387","Robbery","Street","No","No","11","19","Sunday"
"388","Assault","Residential","No","Yes","15","18","Tuesday"
"389","Battery","Street","No","No","2","17","Thursday"
"390","Trespass","Business/Retail/Resturant","Yes","No","11","21","Wednesday"
"391","Fraud","Other","No","No","1","11","Wednesday"
"392","Other","Street","No","No","7","10","Friday"
"393","Theft","Business/Retail/Resturant","No","No","25","10","Tuesday"
"394","Theft","Business/Retail/Resturant","No","No","14","17","Wednesday"
"395","Theft","Business/Retail/Resturant","No","No","1","14","Saturday"
"396","Theft","Street","No","No","25","8","Tuesday"
"397","Other","Medical/Hospital","No","No","1","8","Tuesday"
"398","Battery","Residential","No","Yes","10","18","Saturday"
"399","Battery","Public Transportation","No","No","6","17","Monday"
"400","Damage","Street","No","No","3","17","Thursday"
"401","Other","Residential","No","No","22","16","Saturday"
"402","Fraud","Public Transportation","No","No","1","14","Monday"
"403","Damage","Residential","No","No","10","21","Sunday"
"404","Theft","Residential","No","No","18","13","Friday"
"405","Theft","Street","No","No","3","12","Monday"
"406","Burglary","Residential","No","No","19","22","Friday"
"407","Auto Theft","Street","No","No","14","7","Monday"
"408","Theft","Vehicle/Boat","No","No","10","23","Friday"
"409","Assault","Street","No","No","18","19","Wednesday"
"410","Theft","Business/Retail/Resturant","No","No","6","15","Monday"
"411","Other","Street","No","Yes","4","11","Thursday"
"412","Theft","Street","No","No","25","18","Wednesday"
"413","Fraud","Vehicle/Boat","No","No","11","15","Thursday"
"414","Auto Theft","Street","No","No","2","19","Thursday"
"415","Theft","Business/Retail/Resturant","No","No","1","15","Sunday"
"416","Theft","Business/Retail/Resturant","No","No","18","17","Wednesday"
"417","Burglary","Residential","No","No","25","18","Tuesday"
"418","Battery","Residential","No","Yes","11","22","Friday"
"419","Other","Street","No","No","18","22","Friday"
"420","Fraud","Business/Retail/Resturant","No","No","12","8","Thursday"
"421","Robbery","Street","No","No","3","11","Wednesday"
"422","Damage","Residential","No","No","20","14","Monday"
"423","Disturbing the Peace","Street","Yes","Yes","12","8","Saturday"
"424","Theft","Business/Retail/Resturant","No","No","1","13","Wednesday"
"425","Fraud","Residential","No","No","9","9","Thursday"
"426","Burglary","Residential","No","No","17","5","Wednesday"
"427","Theft","Residential","No","No","2","20","Monday"
"428","Theft","Residential","No","No","24","20","Monday"
"429","Weapons","Street","No","No","17","16","Tuesday"
"430","Theft","Street","No","No","4","16","Saturday"
"431","Theft","Residential","No","No","15","2","Monday"
"432","Burglary","Residential","No","No","15","15","Friday"
"433","Battery","Street","No","No","25","14","Sunday"
"434","Damage","Vehicle/Boat","No","No","7","22","Sunday"
"435","Theft","Street","No","No","22","23","Wednesday"
"436","Other","Residential","No","No","6","13","Wednesday"
"437","Auto Theft","Street","No","No","2","15","Thursday"
"438","Theft","Residential","No","Yes","4","17","Wednesday"
"439","Theft","Vehicle/Boat","No","No","3","12","Wednesday"
"440","Theft","Business/Retail/Resturant","Yes","No","22","20","Friday"
"441","Battery","Residential","Yes","Yes","15","23","Monday"
"442","Theft","Residential","No","No","9","22","Thursday"
"443","Theft","Business/Retail/Resturant","No","No","17","8","Friday"
"444","Theft","Business/Retail/Resturant","No","No","17","15","Sunday"
"445","Theft","Residential","No","No","24","10","Wednesday"
"446","Assault","Other","No","No","8","11","Thursday"
"447","Theft","Vehicle/Boat","No","No","11","14","Sunday"
"448","Assault","Residential","No","No","4","10","Thursday"
"449","Other","Residential","No","Yes","8","14","Tuesday"
"450","Auto Theft","Street","No","No","15","16","Monday"
"451","Battery","Street","No","No","10","12","Saturday"
"452","Drugs/Alcohol","School/College","Yes","No","15","20","Saturday"
"453","Battery","Street","No","Yes","7","11","Tuesday"
"454","Theft","Other","No","No","17","17","Monday"
"455","Damage","Street","No","No","18","15","Friday"
"456","Battery","Residential","No","Yes","11","23","Tuesday"
"457","Burglary","Business/Retail/Resturant","No","No","10","15","Saturday"
"458","Theft","Residential","No","Yes","3","14","Friday"
"459","Drugs/Alcohol","Street","Yes","No","11","9","Wednesday"
"460","Battery","Residential","No","Yes","15","12","Monday"
"461","Damage","Other","No","No","14","13","Saturday"
"462","Disturbing the Peace","School/College","No","Yes","5","13","Wednesday"
"463","Battery","Residential","No","Yes","25","0","Tuesday"
"464","Auto Theft","Street","No","No","8","6","Monday"
"465","Theft","Residential","No","No","6","0","Wednesday"
"466","Drugs/Alcohol","Street","Yes","No","6","1","Tuesday"
"467","Fraud","Residential","No","No","8","13","Friday"
"468","Damage","Street","No","No","24","20","Saturday"
"469","Damage","Street","No","No","8","12","Thursday"
"470","Auto Theft","Residential","No","No","6","17","Thursday"
"471","Theft","Residential","No","No","14","14","Sunday"
"472","Theft","Business/Retail/Resturant","Yes","No","2","15","Monday"
"473","Fraud","Airport","No","No","16","17","Sunday"
"474","Theft","Vehicle/Boat","No","No","14","13","Wednesday"
"475","Trespass","Government Building/Land","No","No","12","10","Thursday"
"476","Battery","Street","No","Yes","22","15","Saturday"
"477","Auto Theft","Street","No","No","11","12","Friday"
"478","Drugs/Alcohol","Vehicle/Boat","Yes","No","5","8","Sunday"
"479","Battery","Residential","No","Yes","3","10","Tuesday"
"480","Damage","Other","No","No","10","23","Sunday"
"481","Battery","Residential","No","No","15","21","Monday"
"482","Theft","Business/Retail/Resturant","Yes","No","1","9","Monday"
"483","Battery","Street","No","No","14","15","Monday"
"484","Theft","Other","No","No","8","0","Thursday"
"485","Assault","Street","No","No","2","17","Sunday"
"486","Drugs/Alcohol","Other","Yes","No","11","10","Saturday"
"487","Assault","Street","No","Yes","8","12","Thursday"
"488","Theft","Residential","No","No","5","21","Sunday"
"489","Other","Residential","No","Yes","4","6","Monday"
"490","Assault","Medical/Hospital","No","No","2","10","Sunday"
"491","Theft","Business/Retail/Resturant","No","No","5","10","Thursday"
"492","Other","Residential","No","No","12","19","Monday"
"493","Battery","Street","No","No","2","10","Wednesday"
"494","Battery","Street","No","No","9","21","Monday"
"495","Battery","Residential","No","Yes","17","22","Thursday"
"496","Theft","Street","No","No","11","10","Saturday"
"497","Disturbing the Peace","Street","Yes","No","6","19","Saturday"
"498","Theft","Other","No","No","15","0","Tuesday"
"499","Theft","Residential","No","No","20","18","Saturday"
"500","Theft","Street","No","No","18","14","Sunday"
"501","Battery","Residential","No","Yes","17","2","Sunday"
"502","Theft","Residential","No","No","11","9","Thursday"
"503","Theft","Residential","No","No","3","19","Tuesday"
"504","Homicide","Vehicle/Boat","No","No","14","14","Saturday"
"505","Robbery","Business/Retail/Resturant","No","No","4","12","Saturday"
"506","Battery","Residential","No","Yes","8","21","Thursday"
